年度,醫事機構代碼,院所名稱,特約類別,人工膝關節置換後90天內發生手術傷口感染之案件數,人工膝關節置換案件數,人工膝關節置換病人數,傷口感染率,人工膝關節置換醫師數,病患平均年齡,病患重大傷病比率,分母重大傷病人數,縣市別,鄉鎮別
2015年上半年度,0132010014,衛生福利部桃園醫院,2,0.0000,46.0000,43,0%,7,70.0465,13.95%,6,68000,68000010
2015年全年度,0132010014,衛生福利部桃園醫院,2,1.0000,121.0000,117,0.83%,8,71.4102,10.26%,12,68000,68000010
2016年上半年度,0132010014,衛生福利部桃園醫院,2,0.0000,53.0000,51,0%,8,70.7843,11.76%,6,68000,68000010
2016年全年度,0132010014,衛生福利部桃園醫院,2,0.0000,139.0000,132,0%,8,71.3560,9.85%,13,68000,68000010
2017年上半年度,0132010014,衛生福利部桃園醫院,2,0.0000,90.0000,89,0%,8,71.7752,14.61%,13,68000,68000010
2017年全年度,0132010014,衛生福利部桃園醫院,2,1.0000,183.0000,173,0.55%,9,71.0982,15.03%,26,68000,68000010
2018年上半年度,0132010014,衛生福利部桃園醫院,2,0.0000,98.0000,94,0%,9,70.4680,15.96%,15,68000,68000010
2018年全年度,0132010014,衛生福利部桃園醫院,2,3.0000,198.0000,188,1.52%,9,70.6861,12.77%,24,68000,68000010
2019年上半年度,0132010014,衛生福利部桃園醫院,2,0.0000,115.0000,111,0%,10,71.6846,7.21%,8,68000,68000010
2019年全年度,0132010014,衛生福利部桃園醫院,2,1.0000,212.0000,198,0.47%,10,71.3989,8.08%,16,68000,68000010
2020年上半年度,0132010014,衛生福利部桃園醫院,2,0.0000,74.0000,72,0%,9,71.7500,22.22%,16,68000,68000010
2020年全年度,0132010014,衛生福利部桃園醫院,2,1.0000,196.0000,185,0.51%,12,72.4054,16.76%,31,68000,68000010
2021年上半年度,0132010014,衛生福利部桃園醫院,2,1.0000,55.0000,53,1.82%,9,72.2264,13.21%,7,68000,68000010
2021年全年度,0132010014,衛生福利部桃園醫院,2,3.0000,146.0000,137,2.05%,12,72.1897,17.52%,24,68000,68000010
2022年上半年度,0132010014,衛生福利部桃園醫院,2,1.0000,62.0000,61,1.61%,11,71.7540,9.84%,6,68000,68000010
2022年全年度,0132010014,衛生福利部桃園醫院,2,2.0000,177.0000,168,1.13%,12,71.9523,17.86%,30,68000,68000010
2023年上半年度,0132010014,衛生福利部桃園醫院,2,1.0000,100.0000,97,1%,12,71.9690,14.43%,14,68000,68000010
2023年全年度,0132010014,衛生福利部桃園醫院,2,1.0000,215.0000,206,.47%,14,72.2621,12.62%,26,68000,68000010
2024年上半年度,0132010014,衛生福利部桃園醫院,2,1.0000,112.0000,110,.89%,14,71.5545,12.73%,14,68000,68000010
2024年全年度,0132010014,衛生福利部桃園醫院,2,1.0000,225.0000,216,.44%,15,71.8055,9.72%,21,68000,68000010
2025年上半年度,0132010014,衛生福利部桃園醫院,2,0.0000,93.0000,91,0%,11,70.9890,16.48%,15,68000,68000010
2014年全年度,0132110519,衛生福利部桃園醫院新屋分院,3,0.0000,8.0000,6,0%,2,66.0000,16.67%,1,68000,68000110
2015年上半年度,0132110519,衛生福利部桃園醫院新屋分院,3,0.0000,2.0000,2,0%,1,80.5000,50%,1,68000,68000110
2015年全年度,0132110519,衛生福利部桃園醫院新屋分院,3,0.0000,14.0000,12,0%,3,77.0000,8.33%,1,68000,68000110
2016年上半年度,0132110519,衛生福利部桃園醫院新屋分院,3,1.0000,4.0000,4,25%,1,68.0000,25%,1,68000,68000110
2016年全年度,0132110519,衛生福利部桃園醫院新屋分院,3,1.0000,11.0000,11,9.09%,2,68.4545,18.18%,2,68000,68000110
2017年上半年度,0132110519,衛生福利部桃園醫院新屋分院,3,0.0000,5.0000,5,0%,2,72.8000,0%,0,68000,68000110
2017年全年度,0132110519,衛生福利部桃園醫院新屋分院,3,0.0000,12.0000,11,0%,2,73.2727,0%,0,68000,68000110
2018年上半年度,0132110519,衛生福利部桃園醫院新屋分院,3,0.0000,9.0000,9,0%,4,73.5555,0%,0,68000,68000110
2018年全年度,0132110519,衛生福利部桃園醫院新屋分院,3,0.0000,15.0000,14,0%,4,74.5714,0%,0,68000,68000110
2019年上半年度,0132110519,衛生福利部桃園醫院新屋分院,3,0.0000,3.0000,3,0%,3,70.3333,0%,0,68000,68000110
2019年全年度,0132110519,衛生福利部桃園醫院新屋分院,3,0.0000,16.0000,15,0%,4,71.2666,13.33%,2,68000,68000110
2020年上半年度,0132110519,衛生福利部桃園醫院新屋分院,3,0.0000,8.0000,8,0%,2,73.2500,12.5%,1,68000,68000110
2020年全年度,0132110519,衛生福利部桃園醫院新屋分院,3,0.0000,29.0000,28,0%,5,75.7857,10.71%,3,68000,68000110
2021年上半年度,0132110519,衛生福利部桃園醫院新屋分院,3,0.0000,15.0000,15,0%,5,70.2666,0%,0,68000,68000110
2021年全年度,0132110519,衛生福利部桃園醫院新屋分院,3,0.0000,33.0000,33,0%,5,71.0000,6.06%,2,68000,68000110
2022年上半年度,0132110519,衛生福利部桃園醫院新屋分院,3,0.0000,15.0000,15,0%,3,77.8000,6.67%,1,68000,68000110
2022年全年度,0132110519,衛生福利部桃園醫院新屋分院,3,0.0000,40.0000,38,0%,5,74.3421,5.26%,2,68000,68000110
2023年上半年度,0132110519,衛生福利部桃園醫院新屋分院,3,0.0000,31.0000,31,0%,4,73.1290,6.45%,2,68000,68000110
2023年全年度,0132110519,衛生福利部桃園醫院新屋分院,3,0.0000,53.0000,52,0%,4,72.4423,9.62%,5,68000,68000110
2024年上半年度,0132110519,衛生福利部桃園醫院新屋分院,3,0.0000,21.0000,20,0%,4,70.6500,15%,3,68000,68000110
2024年全年度,0132110519,衛生福利部桃園醫院新屋分院,3,0.0000,45.0000,44,0%,5,73.5681,9.09%,4,68000,68000110
2025年上半年度,0132110519,衛生福利部桃園醫院新屋分院,3,0.0000,22.0000,22,0%,4,71.9545,27.27%,6,68000,68000110
2014年全年度,0135010016,衛生福利部苗栗醫院,2,0.0000,265.0000,248,0%,2,72.2661,9.27%,23,10005,10005010
2015年上半年度,0135010016,衛生福利部苗栗醫院,2,0.0000,117.0000,115,0%,2,72.1652,7.83%,9,10005,10005010
2015年全年度,0135010016,衛生福利部苗栗醫院,2,0.0000,257.0000,244,0%,2,72.3442,6.97%,17,10005,10005010
2016年上半年度,0135010016,衛生福利部苗栗醫院,2,1.0000,133.0000,129,0.75%,4,73.3488,11.63%,15,10005,10005010
2016年全年度,0135010016,衛生福利部苗栗醫院,2,2.0000,286.0000,269,0.7%,4,73.0669,11.15%,30,10005,10005010
2017年上半年度,0135010016,衛生福利部苗栗醫院,2,1.0000,131.0000,130,0.76%,3,74.2461,12.31%,16,10005,10005010
2017年全年度,0135010016,衛生福利部苗栗醫院,2,1.0000,281.0000,265,0.36%,5,73.9283,10.94%,29,10005,10005010
2018年上半年度,0135010016,衛生福利部苗栗醫院,2,0.0000,130.0000,126,0%,3,73.1269,7.14%,9,10005,10005010
2018年全年度,0135010016,衛生福利部苗栗醫院,2,1.0000,290.0000,277,0.34%,7,73.6137,10.47%,29,10005,10005010
2019年上半年度,0135010016,衛生福利部苗栗醫院,2,0.0000,134.0000,130,0%,2,74.3000,13.08%,17,10005,10005010
2019年全年度,0135010016,衛生福利部苗栗醫院,2,1.0000,272.0000,257,0.37%,5,73.5836,11.28%,29,10005,10005010
2020年上半年度,0135010016,衛生福利部苗栗醫院,2,0.0000,87.0000,84,0%,1,73.6428,9.52%,8,10005,10005010
2020年全年度,0135010016,衛生福利部苗栗醫院,2,0.0000,219.0000,211,0%,1,73.5592,12.8%,27,10005,10005010
2021年上半年度,0135010016,衛生福利部苗栗醫院,2,0.0000,86.0000,84,0%,1,75.3333,14.29%,12,10005,10005010
2021年全年度,0135010016,衛生福利部苗栗醫院,2,0.0000,208.0000,202,0%,1,74.2970,9.9%,20,10005,10005010
2022年上半年度,0135010016,衛生福利部苗栗醫院,2,0.0000,86.0000,80,0%,4,71.3875,8.75%,7,10005,10005010
2022年全年度,0135010016,衛生福利部苗栗醫院,2,0.0000,185.0000,172,0%,4,72.5581,9.88%,17,10005,10005010
2023年上半年度,0135010016,衛生福利部苗栗醫院,2,0.0000,102.0000,100,0%,2,75.8800,17%,17,10005,10005010
2023年全年度,0135010016,衛生福利部苗栗醫院,2,0.0000,200.0000,192,0%,4,73.9687,14.58%,28,10005,10005010
2024年上半年度,0135010016,衛生福利部苗栗醫院,2,0.0000,101.0000,99,0%,4,73.3636,22.22%,22,10005,10005010
2024年全年度,0135010016,衛生福利部苗栗醫院,2,1.0000,197.0000,192,.51%,4,73.0156,16.67%,32,10005,10005010
2025年上半年度,0135010016,衛生福利部苗栗醫院,2,1.0000,98.0000,93,1.02%,1,72.7634,17.2%,16,10005,10005010
2014年全年度,0136010010,衛生福利部豐原醫院,2,3.0000,73.0000,69,4.11%,6,71.2608,10.14%,7,66000,66000090
2015年上半年度,0136010010,衛生福利部豐原醫院,2,0.0000,21.0000,20,0%,6,75.6000,5%,1,66000,66000090
2015年全年度,0136010010,衛生福利部豐原醫院,2,0.0000,53.0000,50,0%,7,73.2200,12%,6,66000,66000090
2016年上半年度,0136010010,衛生福利部豐原醫院,2,0.0000,25.0000,25,0%,4,69.9200,20%,5,66000,66000090
2016年全年度,0136010010,衛生福利部豐原醫院,2,0.0000,59.0000,57,0%,7,72.9122,10.53%,6,66000,66000090
2017年上半年度,0136010010,衛生福利部豐原醫院,2,0.0000,25.0000,25,0%,6,73.0800,8%,2,66000,66000090
2017年全年度,0136010010,衛生福利部豐原醫院,2,0.0000,45.0000,42,0%,7,72.0476,7.14%,3,66000,66000090
2018年上半年度,0136010010,衛生福利部豐原醫院,2,0.0000,40.0000,40,0%,6,71.3000,7.5%,3,66000,66000090
2018年全年度,0136010010,衛生福利部豐原醫院,2,3.0000,110.0000,108,2.73%,7,71.7037,12.96%,14,66000,66000090
2019年上半年度,0136010010,衛生福利部豐原醫院,2,1.0000,66.0000,65,1.52%,6,71.6307,13.85%,9,66000,66000090
2019年全年度,0136010010,衛生福利部豐原醫院,2,2.0000,133.0000,125,1.5%,7,71.8560,15.2%,19,66000,66000090
2020年上半年度,0136010010,衛生福利部豐原醫院,2,1.0000,44.0000,43,2.27%,3,69.6976,18.6%,8,66000,66000090
2020年全年度,0136010010,衛生福利部豐原醫院,2,1.0000,119.0000,112,0.84%,6,70.6160,16.96%,19,66000,66000090
2021年上半年度,0136010010,衛生福利部豐原醫院,2,0.0000,57.0000,56,0%,6,70.9107,19.64%,11,66000,66000090
2021年全年度,0136010010,衛生福利部豐原醫院,2,1.0000,86.0000,84,1.16%,6,71.4047,15.48%,13,66000,66000090
2022年上半年度,0136010010,衛生福利部豐原醫院,2,0.0000,38.0000,38,0%,5,74.6578,5.26%,2,66000,66000090
2022年全年度,0136010010,衛生福利部豐原醫院,2,0.0000,79.0000,76,0%,7,73.7368,6.58%,5,66000,66000090
2023年上半年度,0136010010,衛生福利部豐原醫院,2,1.0000,54.0000,53,1.85%,6,73.7547,15.09%,8,66000,66000090
2023年全年度,0136010010,衛生福利部豐原醫院,2,1.0000,103.0000,99,.97%,7,72.5151,13.13%,13,66000,66000090
2024年上半年度,0136010010,衛生福利部豐原醫院,2,1.0000,45.0000,45,2.22%,7,71.3333,15.56%,7,66000,66000090
2024年全年度,0136010010,衛生福利部豐原醫院,2,1.0000,111.0000,103,.9%,8,70.7475,20.39%,21,66000,66000090
2025年上半年度,0136010010,衛生福利部豐原醫院,2,0.0000,50.0000,50,0%,8,70.7000,16%,8,66000,66000090
2014年全年度,0137170515,衛生福利部彰化醫院,2,0.0000,109.0000,104,0%,3,69.4326,8.65%,9,10007,10007150
2015年上半年度,0137170515,衛生福利部彰化醫院,2,0.0000,41.0000,41,0%,2,71.2926,0%,0,10007,10007150
2015年全年度,0137170515,衛生福利部彰化醫院,2,0.0000,88.0000,82,0%,3,70.6341,3.66%,3,10007,10007150
2016年上半年度,0137170515,衛生福利部彰化醫院,2,0.0000,42.0000,41,0%,2,71.2195,14.63%,6,10007,10007150
2016年全年度,0137170515,衛生福利部彰化醫院,2,0.0000,97.0000,92,0%,2,70.1739,13.04%,12,10007,10007150
2017年上半年度,0137170515,衛生福利部彰化醫院,2,0.0000,56.0000,55,0%,2,69.6727,7.27%,4,10007,10007150
2017年全年度,0137170515,衛生福利部彰化醫院,2,0.0000,103.0000,100,0%,3,70.2500,10%,10,10007,10007150
2018年上半年度,0137170515,衛生福利部彰化醫院,2,0.0000,38.0000,38,0%,3,70.7894,10.53%,4,10007,10007150
2018年全年度,0137170515,衛生福利部彰化醫院,2,0.0000,71.0000,69,0%,4,69.7681,13.04%,9,10007,10007150
2019年上半年度,0137170515,衛生福利部彰化醫院,2,0.0000,35.0000,35,0%,3,68.7714,2.86%,1,10007,10007150
2019年全年度,0137170515,衛生福利部彰化醫院,2,0.0000,75.0000,72,0%,3,69.0555,9.72%,7,10007,10007150
2020年上半年度,0137170515,衛生福利部彰化醫院,2,0.0000,28.0000,28,0%,4,71.8214,14.29%,4,10007,10007150
2020年全年度,0137170515,衛生福利部彰化醫院,2,0.0000,75.0000,72,0%,5,70.9583,12.5%,9,10007,10007150
2021年上半年度,0137170515,衛生福利部彰化醫院,2,1.0000,23.0000,23,4.35%,3,71.5652,13.04%,3,10007,10007150
2021年全年度,0137170515,衛生福利部彰化醫院,2,1.0000,68.0000,64,1.47%,5,71.4843,14.06%,9,10007,10007150
2022年上半年度,0137170515,衛生福利部彰化醫院,2,1.0000,24.0000,23,4.17%,4,72.7826,26.09%,6,10007,10007150
2022年全年度,0137170515,衛生福利部彰化醫院,2,1.0000,52.0000,51,1.92%,4,71.6666,25.49%,13,10007,10007150
2023年上半年度,0137170515,衛生福利部彰化醫院,2,0.0000,33.0000,33,0%,3,70.7272,15.15%,5,10007,10007150
2023年全年度,0137170515,衛生福利部彰化醫院,2,0.0000,75.0000,74,0%,4,70.5540,17.57%,13,10007,10007150
2024年上半年度,0137170515,衛生福利部彰化醫院,2,0.0000,39.0000,37,0%,4,74.3513,13.51%,5,10007,10007150
2024年全年度,0137170515,衛生福利部彰化醫院,2,0.0000,79.0000,74,0%,4,72.1891,14.86%,11,10007,10007150
2025年上半年度,0137170515,衛生福利部彰化醫院,2,0.0000,65.0000,64,0%,3,71.4218,10.94%,7,10007,10007150
2014年全年度,0138010027,衛生福利部南投醫院,2,1.0000,258.0000,244,0.39%,4,71.0614,6.15%,15,10008,10008010
2015年上半年度,0138010027,衛生福利部南投醫院,2,0.0000,119.0000,117,0%,2,71.0170,9.4%,11,10008,10008010
2015年全年度,0138010027,衛生福利部南投醫院,2,0.0000,263.0000,251,0%,4,71.6892,9.56%,24,10008,10008010
2016年上半年度,0138010027,衛生福利部南投醫院,2,0.0000,111.0000,109,0%,3,71.8073,5.5%,6,10008,10008010
2016年全年度,0138010027,衛生福利部南投醫院,2,0.0000,271.0000,260,0%,5,71.6076,7.31%,19,10008,10008010
2017年上半年度,0138010027,衛生福利部南投醫院,2,1.0000,145.0000,143,0.69%,3,71.9020,9.79%,14,10008,10008010
2017年全年度,0138010027,衛生福利部南投醫院,2,2.0000,289.0000,280,0.69%,4,72.6714,12.5%,35,10008,10008010
2018年上半年度,0138010027,衛生福利部南投醫院,2,1.0000,164.0000,163,0.61%,4,72.0981,11.66%,19,10008,10008010
2018年全年度,0138010027,衛生福利部南投醫院,2,3.0000,324.0000,314,0.93%,6,71.6656,11.78%,37,10008,10008010
2019年上半年度,0138010027,衛生福利部南投醫院,2,0.0000,165.0000,162,0%,3,71.9814,12.35%,20,10008,10008010
2019年全年度,0138010027,衛生福利部南投醫院,2,0.0000,285.0000,271,0%,4,72.2361,12.92%,35,10008,10008010
2020年上半年度,0138010027,衛生福利部南投醫院,2,0.0000,99.0000,97,0%,2,71.7010,9.28%,9,10008,10008010
2020年全年度,0138010027,衛生福利部南投醫院,2,2.0000,285.0000,277,0.7%,4,71.3465,7.58%,21,10008,10008010
2021年上半年度,0138010027,衛生福利部南投醫院,2,0.0000,118.0000,116,0%,2,73.0603,9.48%,11,10008,10008010
2021年全年度,0138010027,衛生福利部南投醫院,2,0.0000,257.0000,248,0%,3,72.6491,10.89%,27,10008,10008010
2022年上半年度,0138010027,衛生福利部南投醫院,2,0.0000,108.0000,105,0%,3,71.5047,11.43%,12,10008,10008010
2022年全年度,0138010027,衛生福利部南投醫院,2,0.0000,249.0000,238,0%,4,71.4705,11.34%,27,10008,10008010
2023年上半年度,0138010027,衛生福利部南投醫院,2,2.0000,139.0000,138,1.44%,4,73.4637,16.67%,23,10008,10008010
2023年全年度,0138010027,衛生福利部南投醫院,2,2.0000,291.0000,282,.69%,4,73.5815,15.25%,43,10008,10008010
2024年上半年度,0138010027,衛生福利部南投醫院,2,0.0000,149.0000,145,0%,4,72.6068,8.97%,13,10008,10008010
2024年全年度,0138010027,衛生福利部南投醫院,2,0.0000,286.0000,273,0%,4,72.3223,9.89%,27,10008,10008010
2025年上半年度,0138010027,衛生福利部南投醫院,2,0.0000,130.0000,128,0%,4,72.0468,10.94%,14,10008,10008010
2014年全年度,0140010028,衛生福利部朴子醫院,3,0.0000,8.0000,7,0%,1,76.1428,0%,0,10010,10010020
2015年上半年度,0140010028,衛生福利部朴子醫院,3,0.0000,5.0000,5,0%,1,69.2000,0%,0,10010,10010020
2015年全年度,0140010028,衛生福利部朴子醫院,3,0.0000,11.0000,10,0%,1,72.2000,0%,0,10010,10010020
2016年上半年度,0140010028,衛生福利部朴子醫院,3,0.0000,5.0000,5,0%,1,66.4000,0%,0,10010,10010020
2016年全年度,0140010028,衛生福利部朴子醫院,3,0.0000,9.0000,7,0%,2,67.7142,0%,0,10010,10010020
2017年上半年度,0140010028,衛生福利部朴子醫院,3,0.0000,3.0000,3,0%,2,67.6666,0%,0,10010,10010020
2017年全年度,0140010028,衛生福利部朴子醫院,3,0.0000,12.0000,11,0%,3,72.6363,0%,0,10010,10010020
2018年上半年度,0140010028,衛生福利部朴子醫院,3,0.0000,2.0000,2,0%,1,66.5000,0%,0,10010,10010020
2018年全年度,0140010028,衛生福利部朴子醫院,3,0.0000,2.0000,2,0%,1,66.5000,0%,0,10010,10010020
2019年全年度,0140010028,衛生福利部朴子醫院,3,0.0000,1.0000,1,0%,1,62.0000,0%,0,10010,10010020
2021年上半年度,0140010028,衛生福利部朴子醫院,3,0.0000,1.0000,1,0%,1,68.0000,100%,1,10010,10010020
2021年全年度,0140010028,衛生福利部朴子醫院,3,0.0000,8.0000,8,0%,3,69.5000,25%,2,10010,10010020
2022年上半年度,0140010028,衛生福利部朴子醫院,3,1.0000,4.0000,4,25%,1,71.5000,0%,0,10010,10010020
2022年全年度,0140010028,衛生福利部朴子醫院,3,1.0000,11.0000,11,9.09%,1,68.8181,18.18%,2,10010,10010020
2023年上半年度,0140010028,衛生福利部朴子醫院,3,0.0000,3.0000,3,0%,1,70.3333,0%,0,10010,10010020
2023年全年度,0140010028,衛生福利部朴子醫院,3,0.0000,9.0000,8,0%,1,72.1250,0%,0,10010,10010020
2024年上半年度,0140010028,衛生福利部朴子醫院,3,0.0000,4.0000,4,0%,1,68.7500,0%,0,10010,10010020
2024年全年度,0140010028,衛生福利部朴子醫院,3,0.0000,6.0000,6,0%,1,67.8333,16.67%,1,10010,10010020
2025年上半年度,0140010028,衛生福利部朴子醫院,3,0.0000,8.0000,8,0%,1,71.0000,0%,0,10010,10010020
2014年全年度,0141010013,衛生福利部新營醫院,3,0.0000,13.0000,12,0%,1,71.6666,8.33%,1,10021,67000010
2015年上半年度,0141010013,衛生福利部新營醫院,3,0.0000,4.0000,4,0%,2,72.5000,0%,0,10021,67000010
2015年全年度,0141010013,衛生福利部新營醫院,3,0.0000,15.0000,15,0%,2,72.4666,6.67%,1,10021,67000010
2016年上半年度,0141010013,衛生福利部新營醫院,3,0.0000,6.0000,6,0%,1,72.1666,0%,0,10021,67000010
2016年全年度,0141010013,衛生福利部新營醫院,3,0.0000,15.0000,15,0%,1,70.4000,0%,0,10021,67000010
2017年上半年度,0141010013,衛生福利部新營醫院,3,0.0000,7.0000,7,0%,2,65.8571,28.57%,2,10021,67000010
2017年全年度,0141010013,衛生福利部新營醫院,3,0.0000,17.0000,16,0%,2,69.9375,37.5%,6,10021,67000010
2018年上半年度,0141010013,衛生福利部新營醫院,3,0.0000,9.0000,9,0%,3,71.5555,0%,0,10021,67000010
2018年全年度,0141010013,衛生福利部新營醫院,3,0.0000,21.0000,21,0%,4,70.3333,0%,0,10021,67000010
2019年上半年度,0141010013,衛生福利部新營醫院,3,0.0000,9.0000,9,0%,1,67.6666,0%,0,10021,67000010
2019年全年度,0141010013,衛生福利部新營醫院,3,0.0000,19.0000,17,0%,2,69.1176,11.76%,2,10021,67000010
2020年上半年度,0141010013,衛生福利部新營醫院,3,0.0000,8.0000,8,0%,1,72.6250,37.5%,3,10021,67000010
2020年全年度,0141010013,衛生福利部新營醫院,3,0.0000,18.0000,17,0%,2,73.2941,29.41%,5,10021,67000010
2021年上半年度,0141010013,衛生福利部新營醫院,3,0.0000,6.0000,6,0%,1,70.0000,0%,0,10021,67000010
2021年全年度,0141010013,衛生福利部新營醫院,3,0.0000,20.0000,20,0%,1,73.9500,5%,1,10021,67000010
2022年上半年度,0141010013,衛生福利部新營醫院,3,0.0000,8.0000,7,0%,2,72.8571,0%,0,10021,67000010
2022年全年度,0141010013,衛生福利部新營醫院,3,0.0000,14.0000,11,0%,2,73.3636,0%,0,10021,67000010
2023年上半年度,0141010013,衛生福利部新營醫院,3,0.0000,3.0000,3,0%,1,69.3333,0%,0,10021,67000010
2023年全年度,0141010013,衛生福利部新營醫院,3,0.0000,10.0000,10,0%,1,67.5000,10%,1,10021,67000010
2024年上半年度,0141010013,衛生福利部新營醫院,3,0.0000,10.0000,10,0%,2,69.6000,20%,2,10021,67000010
